,Track,Job Role,TSC,Minimum Level
950,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Business Negotiation ,Level 3
951,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Business Requirements Mapping,Level 3
952,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Business Risk Management,Level 3
953,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Change Management,Level 3
954,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Configuration Tracking,Level 3
955,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Data Design,Level 3
956,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Database Administration,Level 4
957,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Emerging Technology Synthesis,Level 4
958,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Performance Management,Level 4
959,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Problem Management,Level 3
960,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Product Management,Level 4
961,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Project Management,Level 4
962,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Quality Standards,Level 4
963,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Software Configuration,Level 3
964,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Software Design,Level 4
965,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Software Testing,Level 3
966,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Solution Architecture,Level 4
967,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Stakeholder Management,Level 3
968,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,System Integration,Level 3
969,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,Test Planning,Level 3
970,Map_Top_5_CCS/3. Software and Applications/,Software Engineer,User Interface Design,Level 4
971,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Applications Development,Level 4
972,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Applications Integration,Level 4
973,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Budgeting,Level 3
974,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Business Environment Analysis,Level 3
975,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Business Needs Analysis,Level 3
976,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Business Negotiation,Level 3
977,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Business Risk Management,Level 3
978,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Change Management,Level 3
979,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Configuration Tracking,Level 3
980,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Control System Programming,Level 3
981,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Embedded Systems Integration,Level 4
982,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Embedded Systems Interface Design,Level 4
983,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Embedded Systems Programming,Level 4
984,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Emerging Technology Synthesis,Level 4
985,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Network Configuration,Level 4
986,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Network Security,Level 4
987,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Performance Management,Level 4
988,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Project Management,Level 4
989,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Software Configuration,Level 3
990,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Software Design,Level 4
991,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Software Testing,Level 3
992,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Solution Architecture,Level 4
993,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,System Integration,Level 3
994,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Test Planning,Level 3
995,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineer,Vendor Management,Level 3
996,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Brand Management,Level 4
997,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Budgeting,Level 3
998,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Business Environment Analysis,Level 3
999,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Business Innovation,Level 5
1000,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Business Needs Analysis,Level 3
1001,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Business Performance Management,Level 3
1002,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Business Requirements Mapping,Level 4
1003,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Customer Experience Management,Level 3
1004,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Data Analytics,Level 3
1005,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Design Thinking Practice,Level 4
1006,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Emerging Technology Synthesis,Level 4
1007,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Process Improvement and Optimisation,Level 4
1008,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Product Management,Level 4
1009,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Project Management ,Level 4
1010,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Research,Level 3
1011,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Software Design,Level 4
1012,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Software Testing,Level 3
1013,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Solution Architecture,Level 4
1014,Map_Top_5_CCS/3. Software and Applications/,UI Designer,Stakeholder Management,Level 4
1015,Map_Top_5_CCS/3. Software and Applications/,UI Designer,User Experience Design,Level 3
1016,Map_Top_5_CCS/3. Software and Applications/,UI Designer,User Interface Design,Level 4
1017,Map_Top_5_CCS/3. Software and Applications/,UI Designer,User Testing and Usability Testing,Level 4
1018,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Brand Management,Level 3
1019,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Business Environment Analysis,Level 2
1020,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Business Innovation,Level 4
1021,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Business Needs Analysis,Level 2
1022,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Business Requirements Mapping,Level 3
1023,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Customer Experience Management,Level 2
1024,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Data Analytics,Level 2
1025,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Design Thinking Practice,Level 3
1026,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Emerging Technology Synthesis,Level 3
1027,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Process Improvement and Optimisation,Level 3
1028,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Product Management,Level 3
1029,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Project Management,Level 3
1030,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Research,Level 3
1031,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Software Design,Level 3
1032,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Software Testing,Level 2
1033,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,Stakeholder Management,Level 2
1034,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,User Experience Design,Level 2
1035,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,User Interface Design,Level 3
1036,Map_Top_5_CCS/3. Software and Applications/,Associate UI Designer,User Testing and Usability Testing,Level 3
1037,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Agile Software Development,Level 3
1038,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Applications Development,Level 3
1039,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Applications Integration,Level 3
1040,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Applications Support and Enhancement,Level 1
1041,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Business Environment Analysis,Level 2
1042,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Business Needs Analysis,Level 2
1043,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Configuration Tracking,Level 1
1044,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Data Design,Level 3
1045,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Emerging Technology Synthesis,Level 3
1046,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Problem Management,Level 3
1047,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Project Management,Level 3
1048,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Software Configuration,Level 2
1049,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Software Design,Level 3
1050,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Software Testing,Level 2
1051,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Stakeholder Management,Level 2
1052,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,System Integration,Level 3
1053,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,Test Planning,Level 2
1054,Map_Top_5_CCS/3. Software and Applications/,Associate Software Engineer,User Interface Design,Level 3
1055,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Applications Development,Level 5
1056,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Applications Integration,Level 5
1057,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Business Environment Analysis,Level 4
1058,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Business Innovation,Level 5
1059,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Business Needs Analysis,Level 5
1060,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Business Requirements Mapping,Level 4
1061,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Business Risk Management,Level 4
1062,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Change Management,Level 4
1063,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Data Design,Level 4
1064,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Embedded Systems Interface Design,Level 5
1065,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Emerging Technology Synthesis,Level 5
1066,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Enterprise Architecture,Level 4
1067,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Infrastructure Design,Level 4
1068,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Networking,Level 4
1069,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Product Management,Level 5
1070,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Project Management,Level 5
1071,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Quality Standards,Level 5
1072,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Security Architecture,Level 4
1073,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Software Design,Level 5
1074,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Solution Architecture,Level 4
1075,Map_Top_5_CCS/3. Software and Applications/,Software Architect,Stakeholder Management,Level 5
1076,Map_Top_5_CCS/3. Software and Applications/,Software Architect,System Integration,Level 5
1077,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Applications Development,Level 3
1078,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Applications Integration,Level 3
1079,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Applications Support and Enhancement,Level 1
1080,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Business Environment Analysis,Level 2
1081,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Business Needs Analysis,Level 2
1082,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Business Risk Management,Level 3
1083,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Configuration Tracking,Level 1
1084,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Control System Programming,Level 2 
1085,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Emerging Technology Synthesis,Level 3
1086,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Network Configuration,Level 2
1087,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Project Management,Level 3
1088,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Software Configuration,Level 2
1089,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Software Design,Level 3
1090,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Software Testing,Level 2
1091,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Stakeholder Management,Level 2
1092,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,System Integration,Level 3
1093,Map_Top_5_CCS/3. Software and Applications/,Associate Embedded Systems Engineer,Test Planning,Level 2
1094,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Applications Development,Level 5
1095,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Applications Integration,Level 5
1096,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Budgeting,Level 4
1097,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Business Environment Analysis,Level 4
1098,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Business Innovation,Level 5
1099,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Business Needs Analysis,Level 4
1100,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Business Performance Management,Level 4
1101,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Business Requirements Mapping,Level 4
1102,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Business Risk Management,Level 4
1103,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Change Management,Level 4
1104,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Configuration Tracking,Level 4
1105,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Control System Programming,Level 4
1106,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Embedded Systems Integration,Level 5
1107,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Embedded Systems Interface Design,Level 5
1108,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Embedded Systems Programming,Level 5
1109,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Emerging Technology Synthesis,Level 5
1110,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Learning and Development,Level 4
1111,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Manpower Planning,Level 3
1112,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Networking,Level 4
1113,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Network Security,Level 5
1114,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Organisational Analysis,Level 4
1115,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,People and Performance Management,Level 3
1116,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Performance Management,Level 5
1117,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Problem Management,Level 4
1118,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Project Feasibility Assessment,Level 4
1119,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Project Management,Level 5
1120,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Software Configuration,Level 4
1121,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Software Design,Level 5
1122,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Software Testing,Level 4
1123,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Solution Architecture,Level 4
1124,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Stakeholder Management,Level 5
1125,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Strategy Implementation,Level 3
1126,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Strategy Planning,Level 4
1127,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,System Integration,Level 5
1128,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Test Planning,Level 4
1129,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,User Interface Design,Level 4
1130,Map_Top_5_CCS/3. Software and Applications/,Embedded Systems Engineering Manager,Vendor Management,Level 4
1131,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Agile Coaching,Level 4
1132,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Agile Software Development,Level 3
1133,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Applications Development,Level 4
1134,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Applications Integration,Level 4
1135,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Applications Support and Enhancement,Level 3
1136,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Business Agility,Level 4
1137,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Business Environment Analysis,Level 3
1138,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Business Needs Analysis,Level 4
1139,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Business Requirements Mapping,Level 3
1140,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Business Risk Management,Level 3
1141,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Change Management,Level 4
1142,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Configuration Tracking,Level 3
1143,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Continuous Integration and Continuous Deployment,Level 3
1144,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Data Design,Level 4
1145,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Database Administration,Level 4
1146,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Emerging Technology Synthesis,Level 4
1147,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Network Configuration,Level 3
1148,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Performance Management,Level 4
1149,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Problem Management,Level 3
1150,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Project Management,Level 4
1151,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Quality Standards,Level 4
1152,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Security Administration,Level 3
1153,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Software Configuration,Level 4
1154,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Software Design,Level 4
1155,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Software Testing,Level 4
1156,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Stakeholder Management,Level 4
1157,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Systems Design,Level 
1158,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,4,NA
1159,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,System Integration,Level 4
1160,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,Test Planning,Level 4
1161,Map_Top_5_CCS/3. Software and Applications/,DevOps Engineer,User Interface Design,Level 4
1162,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Business Innovation,Level 5
1163,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Business Needs Analysis,Level 5
1164,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Computational Modelling,Level 5
1165,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Computer Vision Technology,Level 4
1166,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Data Design,Level 5
1167,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Data Ethics,Level 5
1168,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Data Governance,Level 5
1169,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Data Strategy ,Level 5
1170,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Design Thinking Practice,Level 5
1171,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Emerging Technology Synthesis,Level 4
1172,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Intelligent Reasoning,Level 5
1173,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Pattern Recognition Systems,Level 5
1174,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Project Management,Level 5
1175,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Quality Standards,Level 5
1176,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Self-learning Systems,Level 4
1177,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Solution Architecture,Level 5
1178,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Software Design,Level 5
1179,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Stakeholder Management ,Level 4
1180,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Test Planning,Level 5
1181,Map_Top_5_CCS/4. Data and AI/,Data AI Scientist,Text Analytics and Processing,Level 6
1182,Map_Top_5_CCS/4. Data and AI/,BI Manager,Budgeting ,Level 4
1183,Map_Top_5_CCS/4. Data and AI/,BI Manager,Business Innovation,Level 5
1184,Map_Top_5_CCS/4. Data and AI/,BI Manager,Business Needs Analysis,Level 5
1185,Map_Top_5_CCS/4. Data and AI/,BI Manager,Business Performance Management,Level 4
1186,Map_Top_5_CCS/4. Data and AI/,BI Manager,Data Analytics,Level 4
1187,Map_Top_5_CCS/4. Data and AI/,BI Manager,Data Ethics,Level 4
1188,Map_Top_5_CCS/4. Data and AI/,BI Manager,Data Governance,Level 4
1189,Map_Top_5_CCS/4. Data and AI/,BI Manager,Data Visualisation,Level 4
1190,Map_Top_5_CCS/4. Data and AI/,BI Manager,Design Thinking Practice ,Level 4
1191,Map_Top_5_CCS/4. Data and AI/,BI Manager,Learning and Development,Level 4
1192,Map_Top_5_CCS/4. Data and AI/,BI Manager,Manpower Planning,Level 4
1193,Map_Top_5_CCS/4. Data and AI/,BI Manager,Networking,Level 4
1194,Map_Top_5_CCS/4. Data and AI/,BI Manager,People and Performance Management,Level 4
1195,Map_Top_5_CCS/4. Data and AI/,BI Manager,Project ,NA
1196,Map_Top_5_CCS/4. Data and AI/,BI Manager,Management,Level 4
1197,Map_Top_5_CCS/4. Data and AI/,BI Manager,Stakeholder Management ,Level 3
1198,Map_Top_5_CCS/4. Data and AI/,BI Manager,Strategy Implementation,Level 3
1199,Map_Top_5_CCS/4. Data and AI/,BI Manager,Strategy Planning,Level 4
1200,Map_Top_5_CCS/4. Data and AI/,Data Architect,Business Needs Analysis,Level 4
1201,Map_Top_5_CCS/4. Data and AI/,Data Architect,Change Management,Level 5
1202,Map_Top_5_CCS/4. Data and AI/,Data Architect,Computational Modelling,Level 5
1203,Map_Top_5_CCS/4. Data and AI/,Data Architect,Configuration Tracking,Level 4
1204,Map_Top_5_CCS/4. Data and AI/,Data Architect,Data Design,Level 5
1205,Map_Top_5_CCS/4. Data and AI/,Data Architect,Data Engineering,Level 5
1206,Map_Top_5_CCS/4. Data and AI/,Data Architect,Data Ethics,Level 6
1207,Map_Top_5_CCS/4. Data and AI/,Data Architect,Data Governance,Level 6
1208,Map_Top_5_CCS/4. Data and AI/,Data Architect,Data Strategy ,Level 6
1209,Map_Top_5_CCS/4. Data and AI/,Data Architect,Database Administration,Level 5
1210,Map_Top_5_CCS/4. Data and AI/,Data Architect,Emerging Technology Synthesis,Level 4
1211,Map_Top_5_CCS/4. Data and AI/,Data Architect,Learning and Development,Level 5
1212,Map_Top_5_CCS/4. Data and AI/,Data Architect,Manpower Planning,Level 4
1213,Map_Top_5_CCS/4. Data and AI/,Data Architect,People and Performance Management,Level 4
1214,Map_Top_5_CCS/4. Data and AI/,Data Architect,Project ,NA
1215,Map_Top_5_CCS/4. Data and AI/,Data Architect,Management,Level 6
1216,Map_Top_5_CCS/4. Data and AI/,Data Architect,Quality Standards,Level 5
1217,Map_Top_5_CCS/4. Data and AI/,Data Architect,Security Architecture,Level 4
1218,Map_Top_5_CCS/4. Data and AI/,Data Architect,Stakeholder Management ,Level 5
1219,Map_Top_5_CCS/4. Data and AI/,Data Architect,Strategy Planning,Level 5
1220,Map_Top_5_CCS/4. Data and AI/,Data Architect,System Integration,Level 6
1221,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Budgeting ,Level 5
1222,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Business Agility,Level 5
1223,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Business Continuity,Level 5
1224,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Business Innovation,Level 6
1225,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Business Needs Analysis,Level 5
1226,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Business Performance Management,Level 6
1227,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Business Risk Management,Level 5
1228,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Change Management,Level 5
1229,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Computer Vision Technology,Level 5
1230,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Data Design,Level 5
1231,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Data Engineering,Level 5
1232,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Data Ethics,Level 5
1233,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Data Governance,Level 5
1234,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Data Strategy ,Level 5
1235,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Emerging Technology Synthesis,Level 5
1236,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Intelligent Reasoning,Level 5
1237,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Learning and Development,Level 6
1238,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Manpower Planning,Level 5
1239,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Networking,Level 5
1240,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Organisational Analysis,Level 5
1241,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Pattern Recognition Systems,Level 5
1242,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,People and Performance Management,Level 5
1243,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Performance Management,Level 5
1244,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Project Management,Level 6
1245,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Quality Standards,Level 5
1246,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Research,Level 5
1247,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Self-learning Systems,Level 5
1248,Map_Top_5_CCS/4. Data and AI/,Head of Data Science AI,Software Design,Level 5
